fips,full,year,NO2
40,Oklahoma,2000,0.03732450743494423792
40,Oklahoma,2001,0.03431609083665338645
40,Oklahoma,2002,0.03125879261672095548
40,Oklahoma,2003,0.03548825886524822695
40,Oklahoma,2004,0.03247035312747426762
40,Oklahoma,2005,0.03396279024390243902
40,Oklahoma,2006,0.03052258237547892720
40,Oklahoma,2007,0.02617396192203082502
40,Oklahoma,2008,0.02659176724137931034
40,Oklahoma,2009,0.02838907995735607676
40,Oklahoma,2010,0.02925460541586073501
40,Oklahoma,2011,0.03581864994298745724
40,Oklahoma,2012,0.03262392312206572770
40,Oklahoma,2013,0.03017072299168975069
40,Oklahoma,2014,0.02989889071856287425
40,Oklahoma,2015,0.02609629438202247191
40,Oklahoma,2016,0.02568779452054794521
41,Oregon,2007,0.01761210822510822511
41,Oregon,2008,0.01913931402439024390
41,Oregon,2009,0.01925165129682997118
41,Oregon,2010,0.01902055342465753425
41,Oregon,2011,0.01856471739130434783
41,Oregon,2012,0.02110480246913580247
41,Oregon,2013,0.01759111111111111111
41,Oregon,2014,0.02088637781109445277
41,Oregon,2015,0.01968035068493150685
42,Pennsylvania,2000,0.02454070255615801704
42,Pennsylvania,2001,0.02718843278537409740
42,Pennsylvania,2002,0.02825397377491383186
42,Pennsylvania,2003,0.02534669878419452888
42,Pennsylvania,2004,0.02440713050694025347
42,Pennsylvania,2005,0.02774932235879426397
42,Pennsylvania,2006,0.02740702595797280593
42,Pennsylvania,2007,0.02870410282258064516
42,Pennsylvania,2008,0.02702381452980305204
42,Pennsylvania,2009,0.02531200723629279154
42,Pennsylvania,2010,0.02805249839307787392
42,Pennsylvania,2011,0.02484028400217904485
42,Pennsylvania,2012,0.02455810926025434354
42,Pennsylvania,2013,0.02481755407279029463
42,Pennsylvania,2014,0.02606594389027431421
42,Pennsylvania,2015,0.02768562351840299439
42,Pennsylvania,2016,0.02791888571428571429
44,Rhode Island,2011,0.03074100000000000000
44,Rhode Island,2012,0.03146173385518590998
44,Rhode Island,2013,0.02989392372881355932
44,Rhode Island,2014,0.02915856764295676430
44,Rhode Island,2015,0.02918516388888888889
44,Rhode Island,2016,0.03233368595041322314
45,South Carolina,2003,0.03203885454545454545
45,South Carolina,2006,0.03352768965517241379
45,South Carolina,2007,0.03238223432343234323
45,South Carolina,2008,0.03082974303405572755
45,South Carolina,2009,0.02897945674740484429
45,South Carolina,2010,0.03257925862068965517
45,South Carolina,2016,0.02976055172413793103
46,South Dakota,2011,0.03038931734837799718
46,South Dakota,2012,0.03163196438356164384
46,South Dakota,2013,0.03106974946159368270
46,South Dakota,2014,0.03117449929676511955
46,South Dakota,2015,0.02408431382113821138
47,Tennessee,2002,0.03387180273972602740
47,Tennessee,2003,0.03420176470588235294
47,Tennessee,2008,0.03508462711864406780
47,Tennessee,2009,0.03865249050632911392
47,Tennessee,2010,0.04434198916967509025
47,Tennessee,2015,0.03754858963282937365
47,Tennessee,2016,0.03796459006211180124
48,Texas,2000,0.02458954920477137177
48,Texas,2001,0.02596720693641618497
48,Texas,2002,0.02880329233067729084
48,Texas,2003,0.02701763433382137628
48,Texas,2004,0.02473440352137980596
