fips,full,year,CO
42,Pennsylvania,2012,11.0922227345513165
42,Pennsylvania,2013,9.6238678097053726
42,Pennsylvania,2014,9.2666457832917706
42,Pennsylvania,2015,6.9976469535246413
42,Pennsylvania,2016,7.4159810631578947
44,Rhode Island,2011,5.3837588939393939
44,Rhode Island,2012,6.2880148121330724
44,Rhode Island,2013,7.5593654971751412
44,Rhode Island,2014,7.3038752998605300
44,Rhode Island,2015,7.6401851222222222
44,Rhode Island,2016,7.7406045041322314
45,South Carolina,2003,2.3555263454545455
45,South Carolina,2006,2.0479737068965517
45,South Carolina,2007,2.0304343201320132
45,South Carolina,2008,1.7397764643962848
45,South Carolina,2009,1.4503615743944637
45,South Carolina,2010,1.4259290818965517
45,South Carolina,2016,9.3121706896551724
46,South Dakota,2011,6.1879389590973202
46,South Dakota,2012,6.2372318013698630
46,South Dakota,2013,4.0655201198851400
46,South Dakota,2014,5.0410076413502110
46,South Dakota,2015,4.7312710032520325
47,Tennessee,2002,3.0856924082191781
47,Tennessee,2003,4.8213964215686275
47,Tennessee,2008,1.2500083502824859
47,Tennessee,2009,0.76051211708860759494
47,Tennessee,2010,0.89584255595667870036
47,Tennessee,2015,0.77557253995680345572
47,Tennessee,2016,1.0115911739130435
48,Texas,2000,16.3467475009940358
48,Texas,2001,16.2413094589595376
48,Texas,2002,16.0939985522908367
48,Texas,2003,15.6099711771595900
48,Texas,2004,13.7856950028745958
48,Texas,2005,13.8790888257765084
48,Texas,2006,13.5239462580847724
48,Texas,2007,13.1070044958805355
48,Texas,2008,10.6247425323393109
48,Texas,2009,8.6711178217183274
48,Texas,2010,10.8233143947420833
48,Texas,2011,10.3749718436387900
48,Texas,2012,10.3164452845750262
48,Texas,2013,9.5718326813891362
48,Texas,2014,9.5344972690222471
48,Texas,2015,9.2525328793103448
48,Texas,2016,10.3570789904761905
49,Utah,2011,18.2019177950138504
49,Utah,2012,8.5539603925104022
49,Utah,2013,12.8475835472837022
49,Utah,2014,14.2960057866242038
49,Utah,2015,16.9816929802371542
49,Utah,2016,31.5158731428571429
51,Virginia,2000,17.9155588947368421
51,Virginia,2006,13.0266805679671458
51,Virginia,2007,11.7869617421203438
51,Virginia,2008,9.9887654131113424
51,Virginia,2009,11.9388665165794066
51,Virginia,2010,10.0168542485380117
51,Virginia,2011,7.9258999778129952
51,Virginia,2012,7.9944186038575668
51,Virginia,2013,7.0443912619047619
51,Virginia,2014,5.2539352972972973
51,Virginia,2015,5.4428425258397933
51,Virginia,2016,10.3206628666666667
53,Washington,2013,11.6114197567567568
53,Washington,2014,8.8626867619047619
53,Washington,2015,9.6725848333333333
53,Washington,2016,14.7305381034482759
55,Wisconsin,2006,14.7652431034482759
55,Wisconsin,2007,17.2530547741935484
56,Wyoming,2007,1.7338185817174515
56,Wyoming,2008,2.2701783826366559
56,Wyoming,2011,4.1688657090301003
56,Wyoming,2012,3.9003479291666667
56,Wyoming,2013,4.1368939986052999
56,Wyoming,2014,2.9933137203682394
56,Wyoming,2015,3.0448553129062210
56,Wyoming,2016,3.4255643888888889
80,Country Of Mexico,2006,20.4515212428419936
80,Country Of Mexico,2007,20.3726323178571429
80,Country Of Mexico,2008,20.1116224781491003
80,Country Of Mexico,2009,23.0326883888888889
80,Country Of Mexico,2010,18.5910497632311978
80,Country Of Mexico,2011,22.3873835460992908
