NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
53301,Deschambault,QC,"334, 3 E Rang - Deshambault",46.682373,-71.965903,48,"RB,NU,P2,A",DMean,6,12,18,23,31,34,37,38,40,41,44,44,95.081967213,27,30,36,34,32,25,19,15,14,17,18,23,24.47,9.04138672,2020
53501,Saint-François,QC,"Face Au 198,  Royale Ïle D'orleans",47.015308,-70.862523,59,"RB,SU,P2,F",DMean,15,26,30,35,38,40,42,44,47,53,54,54,54.098360656,32,35,39,38,36,30,25,,,,,,,,2020
53601,Notre-Dame-Du-Rosaire,QC,Rang St-Louis,46.84889,-70.45418,411,"RB,NU,P1,F",DMean,7,15,21,26,33,36,38,41,45,47,48,48,79.234972678,31,35,38,38,,24,17,16,19,20,23,,26.67,9.22861016,2020
53701,St-Hilaire-De-Dorset,QC,Rang Dorset,45.824861,-70.856025,497,"RB,NU,P1,F",DMean,11,22,27,32,38,40,43,45,49,50,52,52,97.81420765,32,38,41,41,39,33,27,26,26,27,30,29,32.5,8.060465882,2020
53801,Tingewick,QC,Chemin Du Radar Et Warwick,45.905785,-71.948695,243,"RB,NU,P2,A",DMean,8,21,26,31,36,39,42,45,48,49,53,53,98.360655738,31,37,40,38,37,34,27,25,24,25,29,27,31.15,8.134323847,2020
53901,Lac-Édouard,QC,Derriere L'hopital Village,47.64722,-72.29056,366,"RB,NU,P1,A",DMean,6,12,18,24,30,33,36,38,40,41,45,45,94.535519126,27,31,35,35,29,26,15,14,16,18,20,25,24.36,8.97212925,2020
54201,Chapais,QC,Chapais,49.822282,-74.9764,381,"RB,NU,P1,F",DMean,10,15,22,28,34,37,40,41,43,44,46,46,100,33,36,39,37,33,26,19,18,18,20,25,29,27.74,8.976725215,2020
54401,Saint-Anicet,QC,1128 De La Guerre,45.120624,-74.2896,50,"RB,NU,P2,A",DMean,5,14,21,26,31,35,38,40,43,46,49,49,95.628415301,29,35,36,33,32,26,21,17,19,22,25,23,26.11,8.651630906,2020
54901,Ditton,QC,Chemin Du Petit-Canada Ouest,45.37333,-71.250167,475,"RB,NU,P1,F",DMean,9,18,24,30,35,38,41,43,46,48,54,54,85.792349727,33,38,41,,37,28,22,20,23,25,29,28,29.7,8.778003968,2020
55001,Mont Saint-Michel,QC,215 4 Ieme Rang De Gravel,46.76866,-75.432728,256,"RB,NU,P1,F",DMean,5,11,17,23,30,34,37,39,40,42,43,43,99.726775956,28,33,35,35,31,20,14,12,14,17,21,23,23.64,9.506381582,2020
